alpha,comparator_cell,comparator_variant,contrast,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_cell,target_epsilon,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.5,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.014574614812485669,0.002358088022194142,-0.026791141602777194,0.020373906633849186,-0.012216526790291527,-0.012216526790291527,balanced_accuracy,maximize,8,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.09044257180834901,,2,A3-A2,3.0,scheduler_effect_with_ha,0,0.01953125,
0.5,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.00012089443591785631,0.0002959197121726679,5.4130840336955266e-05,0.00016899876817548585,0.00017502527625481157,-0.00017502527625481157,brier,minimize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.009604990147704915,,8,A1,3.0,scheduler,0,0.01953125,
0.5,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.013940025652024261,-0.007547352395910903,-0.03542740369995943,0.019486812156743864,-0.021487378047935164,0.021487378047935164,brier,minimize,10,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.006863294349220428,,0,A2,3.0,ha_uniform,0,0.001953125,
0.5,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.013581152368535309,-0.007540659821286842,-0.03470296455835746,0.018985141898884072,-0.02112181218982215,0.02112181218982215,brier,minimize,10,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.006534155057243805,,0,A3,3.0,full_ha_dp,0,0.001953125,
0.5,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.001532516275672213,0.002073107410040037,-0.000991925141304389,0.0021423100313190968,0.0005405911343678238,-0.0005405911343678238,brier,minimize,4,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.44543134559624686,,6,A3,3.0,full_ha_dp,0,0.76953125,
0.5,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.013611247847248657,-0.007335539066318682,-0.034558034760815995,0.019027212477166627,-0.02094678691356734,0.02094678691356734,brier,minimize,10,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.0069242940576379735,,0,A3,3.0,full_ha_dp,0,0.001953125,
0.5,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.0015184614506935843,0.0018840273088065965,-0.001152895592580572,0.0021226627407694787,0.0003655658581130122,-0.0003655658581130122,brier,minimize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.5992550119439364,,5,A3-A2,3.0,scheduler_effect_with_ha,0,1.0,
0.1,A0,dp_uniform,scheduler_without_ha,german_credit,0.017442899271199606,0.01422861355691388,-0.02065718498548533,0.024383491827901522,-0.003214285714285725,-0.003214285714285725,auc,maximize,6,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.6865487828522143,,4,A1,3.0,scheduler,0,0.865234375,
0.1,A0,dp_uniform,ha_under_uniform,german_credit,0.03534893992992318,0.05064655897754224,-0.020051320882304123,0.04941441067250891,0.01529761904761906,0.01529761904761906,auc,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.3531742212160922,,7,A2,3.0,ha_uniform,0,0.232421875,
0.1,A1,scheduler,ha_under_scheduler,german_credit,0.03395702758915724,0.04414750377963345,-0.023766551398681023,0.047468651389116136,0.010190476190476217,0.010190476190476217,auc,maximize,4,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.5142958068303791,,6,A3,3.0,full_ha_dp,0,0.4921875,
0.1,A2,ha_uniform,scheduler_with_ha,german_credit,0.01407502911694549,0.005753600545516923,-0.02239645768837406,0.019675533987470736,-0.008321428571428568,-0.008321428571428568,auc,maximize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.21389632128010655,,3,A3,3.0,full_ha_dp,0,0.232421875,
0.1,A0,dp_uniform,full_vs_uniform_dp,german_credit,0.03473848922429533,0.04171467970048582,-0.02776229874810484,0.04856105942851071,0.006976190476190492,0.006976190476190492,auc,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.6603800861015059,,7,A3,3.0,full_ha_dp,0,0.431640625,
0.1,A1-A0,scheduler_effect_without_ha,factorial_interaction,german_credit,0.02347924992875308,0.018372107071610237,-0.02858639278589592,0.03282172819218688,-0.005107142857142843,-0.005107142857142843,auc,maximize,5,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.6344570475285506,,5,A3-A2,3.0,scheduler_effect_with_ha,0,0.76953125,
0.1,A0,dp_uniform,scheduler_without_ha,german_credit,0.021237376290582144,0.01457647824864151,-0.027898274332522777,0.029687804944359207,-0.0066608980419406326,-0.0066608980419406326,auprc,maximize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.49598071572835645,1.0,3,A1,3.0,scheduler,0,0.275390625,1.0
