alpha,composed_epsilon,dataset,mean_noise_multiplier,round,seed,target_epsilon,v5_variant,validation_auc,validation_auprc,validation_f1_fixed_0_5
0.1,2.671217084153131,default_credit_card_clients,6.183244128417969,40,31415,3.0,ha_uniform,0.6194194303125936,0.3821134900439157,0.0
0.1,2.705507604351767,default_credit_card_clients,6.183244128417969,41,31415,3.0,ha_uniform,0.6225521165532593,0.38806448417595013,0.0
0.1,2.7394441515836263,default_credit_card_clients,6.183244128417969,42,31415,3.0,ha_uniform,0.6242247634363423,0.3897194465934654,0.0
0.1,2.7729660028200067,default_credit_card_clients,6.183244128417969,43,31415,3.0,ha_uniform,0.6264798138726915,0.39269534039989884,0.0
0.1,2.8062138540311823,default_credit_card_clients,6.183244128417969,44,31415,3.0,ha_uniform,0.6296437362900893,0.3986380409848089,0.0
0.1,2.8392185740647045,default_credit_card_clients,6.183244128417969,45,31415,3.0,ha_uniform,0.631926496238056,0.40153461566494775,0.0
0.1,2.871766219459806,default_credit_card_clients,6.183244128417969,46,31415,3.0,ha_uniform,0.6343271475627217,0.40402906825838725,0.0
0.1,2.9040997552314765,default_credit_card_clients,6.183244128417969,47,31415,3.0,ha_uniform,0.636707142706,0.40703842129880796,0.0
0.1,2.9361867955775924,default_credit_card_clients,6.183244128417969,48,31415,3.0,ha_uniform,0.6375172680638306,0.4071725091757171,0.0
0.1,2.9679228326552294,default_credit_card_clients,6.183244128417969,49,31415,3.0,ha_uniform,0.6392322349282928,0.40829125815149736,0.0
0.1,2.999999046102365,default_credit_card_clients,6.183244128417969,50,31415,3.0,ha_uniform,0.641377454936777,0.4112693359794595,0.0
0.1,0.21329672877269965,default_credit_card_clients,31.40849121513809,1,31415,3.0,full_ha_dp,0.5515794925431186,0.28514353742660936,0.0
0.1,0.23415568389553948,default_credit_card_clients,22.20915712506225,2,31415,3.0,full_ha_dp,0.5242135788698348,0.2782413304317564,0.0
0.1,0.2654441165797992,default_credit_card_clients,18.133700857899974,3,31415,3.0,full_ha_dp,0.5035170927381935,0.23825651406343046,0.0
0.1,0.3071620268254789,default_credit_card_clients,15.704245607569044,4,31415,3.0,full_ha_dp,0.49782908571710704,0.22208291080194983,0.0
0.1,0.3571789003023462,default_credit_card_clients,14.046304285550747,5,31415,3.0,full_ha_dp,0.4876783358977227,0.20967623738392155,0.0
0.1,0.40840811378621256,default_credit_card_clients,12.822462844629385,6,31415,3.0,full_ha_dp,0.48161650237445325,0.2046591763299088,0.0
0.1,0.4602264160720022,default_credit_card_clients,11.87129383014461,7,31415,3.0,full_ha_dp,0.4788334597894682,0.20259874714886433,0.0
0.1,0.5126101897544545,default_credit_card_clients,11.104578562531126,8,31415,3.0,full_ha_dp,0.4765592645996378,0.20154780927378152,0.0
0.1,0.5654514684608999,default_credit_card_clients,10.469497071712698,9,31415,3.0,full_ha_dp,0.4773542756784044,0.2019271943194597,0.0
0.1,0.618766202403035,default_credit_card_clients,9.9322370109226,10,31415,3.0,full_ha_dp,0.47921131676606826,0.20290188325193256,0.0
0.1,0.6725533626231843,default_credit_card_clients,9.470016417435163,11,31415,3.0,full_ha_dp,0.4783356961989603,0.2028513751768914,0.0
0.1,0.726702293044662,default_credit_card_clients,9.066850428949987,12,31415,3.0,full_ha_dp,0.47967482132403105,0.20376886901628766,0.0
0.1,0.781381330954875,default_credit_card_clients,8.711148120087742,13,31415,3.0,full_ha_dp,0.480245133454046,0.20486690089331336,0.0
0.1,0.8361372067854634,default_credit_card_clients,8.394272368753276,14,31415,3.0,full_ha_dp,0.4826976771368316,0.20702229956362578,0.0
0.1,0.8915668065394614,default_credit_card_clients,8.109637560382117,15,31415,3.0,full_ha_dp,0.4846232362895856,0.20924439597470573,0.0
0.1,0.9472685865091947,default_credit_card_clients,7.852122803784522,16,31415,3.0,full_ha_dp,0.49489288510427343,0.21635738862146559,0.0
0.1,1.0032056989100568,default_credit_card_clients,7.617678048311689,17,31415,3.0,full_ha_dp,0.5004932293067886,0.22112613625793434,0.0
0.1,1.059605102896302,default_credit_card_clients,7.403052375020749,18,31415,3.0,full_ha_dp,0.5044521628029531,0.2258327752817258,0.0
0.1,1.1162222668011532,default_credit_card_clients,7.205602061887997,19,31415,3.0,full_ha_dp,0.5079979726713681,0.23063531062931164,0.0
0.1,1.172861114221153,default_credit_card_clients,7.023152142775373,20,31415,3.0,full_ha_dp,0.5143832517666073,0.23795276048571787,0.0
0.1,1.2300132786477604,default_credit_card_clients,6.853894688463134,21,31415,3.0,full_ha_dp,0.5224653605914318,0.2479295829859182,0.0
0.1,1.2881786528462973,default_credit_card_clients,6.696312826716339,22,31415,3.0,full_ha_dp,0.5305756827371757,0.25718531312984716,0.0
0.1,1.3452924585397874,default_credit_card_clients,6.549123142141299,23,31415,3.0,full_ha_dp,0.5370173884742538,0.2649341285536113,0.0
0.1,1.4037957731220907,default_credit_card_clients,6.4112314223146925,24,31415,3.0,full_ha_dp,0.5469988583681213,0.27680605956741405,0.0
0.1,1.461737315129979,default_credit_card_clients,6.281698243027618,25,31415,3.0,full_ha_dp,0.5546426531000898,0.28635305883059387,0.0
0.1,1.5210141284721734,default_credit_card_clients,6.159711907634487,26,31415,3.0,full_ha_dp,0.5625454058133548,0.29890415937430914,0.0
0.1,1.5791212177429417,default_credit_card_clients,6.044566952633323,27,31415,3.0,full_ha_dp,0.568953860136492,0.3077874436649248,0.0
0.1,1.6393804214311456,default_credit_card_clients,5.935646915072305,28,31415,3.0,full_ha_dp,0.5768414985706929,0.3196215274170834,0.0
0.1,1.6978743184406908,default_credit_card_clients,5.83241039782603,29,31415,3.0,full_ha_dp,0.5828831797218771,0.327464558261663,0.0
0.1,1.7574713330773757,default_credit_card_clients,5.734379711911325,30,31415,3.0,full_ha_dp,0.5875736443247394,0.3334032826706312,0.0
0.1,1.8190549148686173,default_credit_card_clients,5.641131550900182,31,31415,3.0,full_ha_dp,0.5927996582157694,0.3427005432460487,0.0
0.1,1.8781621687391867,default_credit_card_clients,5.552289281265563,32,31415,3.0,full_ha_dp,0.5947106068987615,0.34515048884639765,0.0
0.1,1.937709519197008,default_credit_card_clients,5.467516527836366,33,31415,3.0,full_ha_dp,0.5984967338042944,0.35041706825955266,0.0
0.1,1.9983564618225236,default_credit_card_clients,5.386511804857099,34,31415,3.0,full_ha_dp,0.6053691964946963,0.35976085801905144,0.0
0.1,2.059220577050654,default_credit_card_clients,5.309003997015438,35,31415,3.0,full_ha_dp,0.6110813863622853,0.36789883018549113,0.0
