alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.5,dp_uniform,0.0035283421202563225,0.006389304263360596,0.011020112493470902,0.005040056688680683,0.019527578489912767,27182,3.0,ha_uniform
0.5,scheduler,-0.004589529776388712,-0.00528925779696221,6.563382357660519e-05,-0.0002376256589269321,0.00010640290096869398,27182,3.0,ha_uniform
0.5,dp_uniform,-0.004675885826819326,-0.006381034564406307,0.0022929103698378084,-0.0026052285961750687,0.00366601161721708,31415,3.0,full_ha_dp
0.5,scheduler,-0.01707672755238565,-0.021134956495042823,-0.002360479343003652,-0.008453142499607103,-0.0051374535374004715,31415,3.0,full_ha_dp
0.5,dp_uniform,-0.010232748504250377,-0.01261822947800506,-0.0002139952921035304,-0.006030758102086364,-0.00035669612155969643,31415,3.0,ha_uniform
0.5,scheduler,-0.022633590229816702,-0.027372151408641576,-0.004867385004944991,-0.011878672005518398,-0.009160161276177248,31415,3.0,ha_uniform
0.5,dp_uniform,0.02702839557876391,0.03434284960546308,0.0275988615514966,0.029505755139420053,0.04677516139603871,65537,3.0,full_ha_dp
0.5,scheduler,0.02274171671312919,0.027709897021570118,0.023454174286990148,0.02325829281174613,0.039687900556651834,65537,3.0,full_ha_dp
0.5,dp_uniform,0.027422843570086508,0.03406366691850826,0.02730149356457945,0.02487108887483347,0.04786156703261207,65537,3.0,ha_uniform
0.5,scheduler,0.02313616470445179,0.027430714334615303,0.023156806300072996,0.018623626547159544,0.040774306193225196,65537,3.0,ha_uniform
