alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.5,scheduler,0.011666666666666714,0.01053008930661059,0.030952380952380953,0.003639287370173161,0.04144736842105268,909,3.0,ha_uniform
0.5,dp_uniform,-0.06202380952380954,-0.04130231762810482,-0.04761904761904767,-0.020885300393850392,0.010377032168799705,2026,3.0,full_ha_dp
0.5,scheduler,-0.05142857142857138,-0.03591439798539936,-0.09404761904761905,-0.018350815395084208,-0.12872907756481333,2026,3.0,full_ha_dp
0.5,dp_uniform,-0.056190476190476235,-0.0395263203064698,-0.030952380952380953,-0.019346339413995328,0.02956713411621631,2026,3.0,ha_uniform
0.5,scheduler,-0.04559523809523808,-0.034138400663764334,-0.07738095238095233,-0.016811854415229144,-0.10953897561739673,2026,3.0,ha_uniform
0.5,dp_uniform,0.04702380952380936,0.05206843734090072,0.08452380952380956,0.006220455891685073,0.05776140027637039,4096,3.0,full_ha_dp
0.5,scheduler,0.04273809523809513,0.04833546154084878,0.07857142857142851,0.005149923128363043,0.04669051878354208,4096,3.0,full_ha_dp
0.5,dp_uniform,0.043333333333333335,0.04741144136889597,0.046428571428571375,0.00406906861868972,0.044252957499634926,4096,3.0,ha_uniform
0.5,scheduler,0.03904761904761911,0.04367846556884403,0.04047619047619033,0.00299853585536769,0.033182076006806616,4096,3.0,ha_uniform
0.5,dp_uniform,0.03345238095238101,0.02675383614486282,0.0035714285714285587,0.013620255675538817,0.0037419354838709173,27182,3.0,full_ha_dp
0.5,scheduler,0.046428571428571375,0.03935109677874549,0.010714285714285787,0.026607866262868818,0.011049022098044148,27182,3.0,full_ha_dp
0.5,dp_uniform,0.02952380952380962,0.017269455260597477,0.042857142857142816,0.011573407977802264,0.06231578947368416,27182,3.0,ha_uniform
0.5,scheduler,0.04249999999999998,0.029866715894480145,0.050000000000000044,0.024561018565132264,0.06962287608785739,27182,3.0,ha_uniform
0.5,dp_uniform,0.011309523809523658,0.016155822248357155,0.015476190476190421,0.002368897517396107,0.017432950191570873,31415,3.0,full_ha_dp
0.5,scheduler,0.0283333333333331,0.028866657438348098,0.016666666666666607,0.022035957799855288,0.02073552425665104,31415,3.0,full_ha_dp
0.5,dp_uniform,0.0016666666666665941,0.0022774388100833542,0.0,9.257412299740198e-05,0.0,31415,3.0,ha_uniform
0.5,scheduler,0.018690476190476035,0.014988274000074298,0.0011904761904761862,0.019759634405456583,0.003302574065080166,31415,3.0,ha_uniform
0.5,dp_uniform,0.03833333333333322,0.04516357645171015,-0.00952380952380949,0.060242723438089285,-0.0110993657505285,65537,3.0,full_ha_dp
0.5,scheduler,0.02321428571428552,0.026864625516204776,-0.0071428571428571175,0.02748352354547473,-0.006019151846785253,65537,3.0,full_ha_dp
0.5,dp_uniform,0.05095238095238086,0.05519336043441109,0.010714285714285676,0.09244211694952964,0.004880089235917429,65537,3.0,ha_uniform
0.5,scheduler,0.03583333333333316,0.03689440949890571,0.013095238095238049,0.059682917056915086,0.009960303139660676,65537,3.0,ha_uniform
