alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.026983516937910006,0.05403121563382884,6.41817580088258e-05,0.02173173819724602,5,0.02704769869591883,0.02704769869591883,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.049663451337909274,,5,100,full_ha_dp,0,0.0625,
0.1,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.02272526238472057,0.04280480993384555,-0.002645714835595593,0.018302264072724755,5,0.020079547549124978,0.020079547549124978,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0702025554938148,,5,50,full_ha_dp,0,0.0625,
0.1,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.007660336592869409,0.019642379694778722,0.004321706509039903,0.006169411856952536,5,0.011982043101909312,0.011982043101909312,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.012225789472450179,,5,75,full_ha_dp,0,0.0625,
0.1,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.011923706894631765,0.02206735788653299,-0.001780055902730544,0.009603006056293013,4,0.010143650991901221,0.010143650991901221,balanced_accuracy,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.07749727339044768,,4,100,full_ha_dp,0,0.125,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.00020012469281787933,-1.2042391153957698e-05,-0.0004122917767897164,0.00016117459562924152,4,-0.00021216708397183703,0.00021216708397183703,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.04224097889322353,,1,75,dp_uniform,0,0.125,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.0004611531542735263,0.00018513181407332644,-0.0007371744944737262,0.00037139931168226367,4,-0.00027602134020019987,0.00027602134020019987,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.17188223754116583,,1,100,dp_uniform,0,0.1875,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.0007091106392160482,0.0002911616765544465,-0.00112705960187765,0.0005710970441616024,4,-0.00041794896266160176,0.00041794896266160176,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.1770898219348861,,1,75,full_ha_dp,0,0.1875,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.0012678935122584446,0.0007540571818909826,-0.0017817298426259067,0.0010211244862479887,4,-0.0005138363303674621,0.0005138363303674621,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.32344997807688436,,1,100,full_ha_dp,0,0.4375,
0.1,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.024009736544123812,0.013246125145404975,-0.03477334794284265,0.01933674212899554,3,-0.010763611398718837,0.010763611398718837,brier,minimize,3,5,"[42, 123, 2026, 27182, 31415]",0.2811926242483781,,2,50,full_ha_dp,0,0.3125,
0.1,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.02383820453984073,0.012868811262432129,-0.03480759781724933,0.01919859525147374,4,-0.0109693932774086,0.0109693932774086,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.27049927047268796,,1,75,full_ha_dp,0,0.1875,
0.1,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.02373964835516974,0.012738221966283641,-0.03474107474405584,0.019119220972430805,3,-0.011001426388886099,0.011001426388886099,brier,minimize,3,5,"[42, 123, 2026, 27182, 31415]",0.26762888419568187,,2,100,full_ha_dp,0,0.3125,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.004237368024433734,0.02546104051584693,0.01698630446697946,0.0034126527229295972,5,0.021223672491413194,0.021223672491413194,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0001550502109536705,,5,75,dp_uniform,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.007652121517749684,0.03790386351522075,0.022599620479721385,0.006162795674852057,5,0.03025174199747107,0.03025174199747107,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.00039143858940195663,,5,100,dp_uniform,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.008610497511126946,0.027050360560590493,0.009829365538336599,0.006934643771248249,5,0.018439863049463545,0.018439863049463545,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.004013459920353967,,5,75,full_ha_dp,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.011054232041546918,0.03753220657207559,0.015423742488981753,0.008902756347561295,5,0.02647797453052867,0.02647797453052867,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0026545189481705558,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.025721286376003454,0.04243733429740283,-0.009005238454604075,0.020715174486183655,4,0.016716047921399378,0.016716047921399378,auc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.14549368051364217,,4,50,full_ha_dp,0,0.125,
0.5,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.01827276002110914,0.03220499850055887,-0.004340521541659408,0.01471634842239377,5,0.013932238479449733,0.013932238479449733,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.10169346861229513,,5,75,full_ha_dp,0,0.0625,
0.5,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.01482220602190858,0.027764486476365556,-0.0018799255674516024,0.01193737278631811,5,0.012942280454456978,0.012942280454456978,auc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.07242527820650692,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.005599602949915715,0.034601155757620274,0.02340194985778884,0.004509757034122187,5,0.029001552807704556,0.029001552807704556,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.00013591427881622887,0.00106787244168584,5,75,dp_uniform,0,0.0625,0.5
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.0073462248737533745,0.04556867462797746,0.03087622488047071,0.005916435432114222,5,0.038222449754224085,0.038222449754224085,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.00013348405521073,0.00106787244168584,5,100,dp_uniform,0,0.0625,0.5
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.012617160232733926,0.036686088895004285,0.011451768429536434,0.010161493166417276,5,0.02406892866227036,0.02406892866227036,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.006101832923493448,0.030509164617467242,5,75,full_ha_dp,0,0.0625,0.5
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.014872769447709993,0.04703425676578226,0.01728871787036227,0.011978095095956272,5,0.032161487318072265,0.032161487318072265,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0038733035119986364,0.02323982107199182,5,100,full_ha_dp,0,0.0625,0.5
0.5,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.03288836449823098,0.05451122028757842,-0.011265508708883543,0.026487330345253156,4,0.021622855789347438,0.021622855789347438,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.14198253700030883,0.3729028010228755,4,50,full_ha_dp,0,0.1875,0.375
0.5,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.02243362831141188,0.03912385995532512,-0.005743396667498634,0.018067390488783707,5,0.016690231643913245,0.016690231643913245,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.10776280685500568,0.3729028010228755,5,75,full_ha_dp,0,0.0625,0.375
0.5,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.01968890519120265,0.035250798544398276,-0.004127011838007028,0.015856870473562327,5,0.015561893353195622,0.015561893353195622,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.09322570025571887,0.3729028010228755,5,100,full_ha_dp,0,0.0625,0.375
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.011256327465628102,0.040884749337176285,0.01837209440592008,0.009065518112719616,5,0.029628421871548183,0.029628421871548183,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0018646246121951354,,5,75,dp_uniform,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.00912164173711192,0.05394215927923784,0.035698875805014,0.007346304435263966,5,0.04482051754212592,0.04482051754212592,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.000167178766158733,,5,100,dp_uniform,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.017189064420749484,0.043944073951891066,0.009565945110392098,0.013843571566555664,5,0.026755009531141582,0.026755009531141582,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.012431968470685235,,5,75,full_ha_dp,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.0181868564346576,0.049591632270893304,0.013217919401578102,0.014647164177239033,5,0.0314047758362357,0.0314047758362357,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.008684092283938624,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.03995620772971467,0.06920015833242833,-0.010712257127001006,0.032179565315187265,5,0.029243950602713665,0.029243950602713665,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.1119473824057249,,5,50,full_ha_dp,0,0.0625,
0.5,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.029497688815277354,0.05586822707758442,-0.0031271505529702898,0.023756578960129084,5,0.026370538262307064,0.026370538262307064,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0680574392267747,,5,75,full_ha_dp,0,0.0625,
0.5,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.025996857576283446,0.041825066473106895,-0.010168648679459998,0.02093711150028622,4,0.01582820889682345,0.01582820889682345,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.16620693511332318,,4,100,full_ha_dp,0,0.1875,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.006121458871394909,0.02256826297991102,0.010325345237121203,0.004930044585532334,5,0.01644680410851611,0.01644680410851611,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.001725717699699381,,5,75,dp_uniform,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.005077066298002725,0.030555407055591184,0.020401274459585735,0.004088921242258277,5,0.02547834075758846,0.02547834075758846,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.00015388376703794898,,5,100,dp_uniform,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.009689644632192377,0.024684554382459714,0.005305265118074961,0.007803757414413036,5,0.014994909750267339,0.014994909750267339,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.01267967564582021,,5,75,full_ha_dp,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.010194821899487302,0.028953178318886483,0.008563534519911877,0.008210612463786886,5,0.01875835641939918,0.01875835641939918,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0069407874688616825,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.023949710617266824,0.04095974001380171,-0.006939681220731936,0.019288398996760228,5,0.017010029396534888,0.017010029396534888,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.11990268411390421,,5,50,full_ha_dp,0,0.0625,
0.5,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.01770318634637804,0.03326132138466416,-0.0021450513080919255,0.014257630383089205,5,0.015558135038286115,0.015558135038286115,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.07120610798654294,,5,75,full_ha_dp,0,0.0625,
0.5,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.015148004332808938,0.025438049391154547,-0.004857959274463329,0.012199761251612802,5,0.010290045058345609,0.010290045058345609,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.13235437594132798,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.0006247178924045831,-0.0001591621300067376,-0.0014085979148159037,0.0005031295852246029,5,-0.0007838800224113207,0.0007838800224113207,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.025264341684040032,,0,75,dp_uniform,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.001050517895091081,-0.00016205128447516074,-0.002263087074657323,0.0008460564988682899,5,-0.0012125691795662418,0.0012125691795662418,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.03275268586651374,,0,100,dp_uniform,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.004249234254708132,0.0012786604802107566,-0.007219808029205508,0.003422209438990918,5,-0.0029705737744973757,0.0029705737744973757,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.12423886538946677,,0,75,full_ha_dp,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.006943069469605698,0.0019000573340046982,-0.011986081605206696,0.005591745818232452,4,-0.0050430121356009995,0.0050430121356009995,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.11393360852534251,,1,100,full_ha_dp,0,0.125,
0.5,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.014368817139878219,0.0021549981475965357,-0.0265826361321599,0.01157222659323669,5,-0.012213818992281683,0.012213818992281683,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.07765944231817425,,0,50,full_ha_dp,0,0.0625,
0.5,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.018403861371250115,0.004003348626882376,-0.03280437411561785,0.014821933629285999,4,-0.014400512744367738,0.014400512744367738,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.09554337600158275,,1,75,full_ha_dp,0,0.125,
0.5,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.020890564607952713,0.004846302659636273,-0.03693482655626915,0.016824651949459528,5,-0.01604426194831644,0.01604426194831644,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.09994333923358474,,0,100,full_ha_dp,0,0.0625,
