alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.5,100,dp_uniform,full_vs_dp,give_me_some_credit,0.019694296377359588,0.0436258489256642,0.004237256170945024,0.015861212377784994,5,0.023931552548304612,0.023931552548304612,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.027945216589010738,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.011317794295781461,0.008606604775387041,-0.01402898381617588,0.009115021706479504,2,-0.002711189520394419,-0.002711189520394419,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.5423729807703506,,2,75,dp_uniform,0,0.8125,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.011355529132300072,0.013224788828211213,-0.00948626943638893,0.00914541224415572,3,0.0018692596959111406,0.0018692596959111406,balanced_accuracy,maximize,2,5,"[42, 123, 2026, 27182, 31415]",0.6713644288468534,,3,100,dp_uniform,0,0.8125,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.007513737912839981,0.0051590513126766446,-0.009868424513003318,0.006051345552186107,2,-0.002354686600163336,-0.002354686600163336,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.43334889934483467,,2,75,full_ha_dp,0,0.4375,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.011189549930921947,0.014970925212133088,-0.007408174649710806,0.009011737432275665,3,0.003781375281211141,0.003781375281211141,balanced_accuracy,maximize,2,5,"[42, 123, 2026, 27182, 31415]",0.40122902617108336,,3,100,full_ha_dp,0,0.625,
0.5,50,dp_uniform,full_vs_dp,give_me_some_credit,0.017795297736310563,0.021292056820917324,-0.014298538651703803,0.01433181421226181,4,0.00349675908460676,0.00349675908460676,balanced_accuracy,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.6143601686628171,,4,50,full_ha_dp,0,0.4375,
0.5,75,dp_uniform,full_vs_dp,give_me_some_credit,0.02095716176021731,0.024810423765055153,-0.01710389975537947,0.016878287355141693,2,0.003853262004837843,0.003853262004837843,balanced_accuracy,maximize,3,5,"[42, 123, 2026, 27182, 31415]",0.636591415067851,,2,75,full_ha_dp,0,0.8125,
0.5,100,dp_uniform,full_vs_dp,give_me_some_credit,0.027663668380879133,0.03307254305078589,-0.022254793710972373,0.02227951234866948,3,0.00540887466990676,0.00540887466990676,balanced_accuracy,maximize,2,5,"[42, 123, 2026, 27182, 31415]",0.61606079799689,,3,100,full_ha_dp,0,0.625,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,2.0108837318495234e-05,1.0332511231826228e-05,-2.988516340516424e-05,1.6195071571363402e-05,3,-9.776326086669007e-06,9.776326086669007e-06,brier,minimize,3,5,"[42, 123, 2026, 27182, 31415]",0.2484020174277481,,2,75,dp_uniform,0,0.4375,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,1.4302139543451972e-05,5.573822710287199e-06,-2.3030456376616743e-05,1.1518526400171008e-05,4,-8.728316833164773e-06,8.728316833164773e-06,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.1654352545929625,,1,100,dp_uniform,0,0.125,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.00010777269109191236,9.331610152578569e-05,-0.00012222928065803903,8.679698473002358e-05,3,-1.4456589566126666e-05,1.4456589566126666e-05,brier,minimize,3,5,"[42, 123, 2026, 27182, 31415]",0.7284647213678095,,2,75,full_ha_dp,0,1.0,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0003146389089160916,0.00017219903624510218,-0.000457078781587081,0.00025340100814009184,4,-0.0001424398726709894,0.0001424398726709894,brier,minimize,4,5,"[42, 123, 2026, 27182, 31415]",0.2771720620499591,,1,100,full_ha_dp,0,0.1875,
0.5,50,dp_uniform,full_vs_dp,give_me_some_credit,0.002917216044295617,0.0012575802628908778,-0.004576851825700356,0.0023494407895499596,5,-0.001659635781404739,0.001659635781404739,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.18935807590145926,,0,50,full_ha_dp,0,0.0625,
0.5,75,dp_uniform,full_vs_dp,give_me_some_credit,0.0028768839100126588,0.001212567865128462,-0.004541199954896855,0.002316958463943915,5,-0.0016643160448841967,0.0016643160448841967,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.18350186422578738,,0,75,full_ha_dp,0,0.0625,
0.5,100,dp_uniform,full_vs_dp,give_me_some_credit,0.0032329798580038194,0.0014396325207612557,-0.005026327195246383,0.002603747763228022,5,-0.0017933473372425638,0.0017933473372425638,brier,minimize,5,5,"[42, 123, 2026, 27182, 31415]",0.1983776171326151,,0,100,full_ha_dp,0,0.0625,
