alpha,auc_mean,auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,curve_method,epsilon_mean,epsilon_std,f1_mean,f1_std,num_runs,precision_mean,precision_std,recall_mean,recall_std,target_epsilon,training_time_mean,training_time_std
0.5,0.6580954483507768,0.015911232249571486,0.4292381211919998,0.020363511441637682,0.6343823349224674,0.006775497479311943,0.2175770688689626,0.0020479232741794874,scheduler,1.9998803257482496,0.00012809939356777031,0.42867463719657517,0.01212358450719906,5,0.4933039465816431,0.020255148555893547,0.38025621703089674,0.02462487504382822,2.0,812.5981736183167,437.8120514656441
0.5,0.6608311531991813,0.011897578731893108,0.4327935161549092,0.015766811718721484,0.6349938583189904,0.004750442003430465,0.21729240619177545,0.0022595765527607414,dp_uniform,2.9999242619935376,5.5245405458732985e-05,0.4295665161247577,0.008477257318869526,5,0.5089085306918696,0.03402093528156911,0.373775433308214,0.026218719302358393,3.0,63.68762440681458,14.256254969377395
0.5,0.6786487205194071,0.01684016301316763,0.4560882672039165,0.015558145871037325,0.6524300399076224,0.016936377718998315,0.2048381636214156,0.01097458477816048,full_ha_dp,2.999821425018383,0.00017424131445703252,0.45949932820640177,0.028174100102004024,5,0.5136128091218113,0.02837754128252375,0.41793519216277314,0.04294609850193821,3.0,772.7171582698822,406.48674318985104
0.5,0.6712250835379888,0.014761054539776091,0.4459918233316765,0.016654761812178863,0.6426474071978856,0.004864100005802552,0.21751922442662106,0.0021037338037496493,scheduler,2.9998693911945375,7.69040366244813e-05,0.443558997575855,0.0091329347813167,5,0.5458205919041493,0.03305929949224586,0.37483044461190657,0.01799619800661882,3.0,771.6586496829987,403.6162543258356
0.5,0.6729149367907576,0.00966577252391099,0.4483364588383515,0.011250802362314986,0.6436514918148817,0.0018741194018478374,0.21719212355273812,0.002407929836610482,dp_uniform,4.999875942164319,7.820540029343627e-05,0.4452736401411981,0.003308480780732992,5,0.5149983356066111,0.04459222099860905,0.39532780708364734,0.0259005614901576,5.0,68.70968837738037,15.356673210459773
0.5,0.6809294071943379,0.024590276844599662,0.4624816531630469,0.01940533094806092,0.6570935730295622,0.015500670660768249,0.19692693542839573,0.018378547128983697,full_ha_dp,4.99988117186175,5.544663516637845e-05,0.46673727841622215,0.023513396371376227,5,0.5080522023210934,0.029498658920567727,0.4349660889223813,0.048227321934501174,5.0,803.663937664032,385.1835310220053
0.5,0.6831025963095729,0.013926642235576766,0.4599954631889693,0.012808271637868964,0.6499701422544589,0.004402142845415428,0.217496048999712,0.00218429738188319,scheduler,4.9999354878819116,8.331894019520685e-05,0.45581423136844823,0.007216443343349061,5,0.5168413840846036,0.058150553359046626,0.41477015825169555,0.044654275283994634,5.0,808.7682059764862,386.4046271249128
0.5,0.6810829613142633,0.008147913318941625,0.45815876342108663,0.007308263154085621,0.649272085418793,0.0021778336186766417,0.21712662585082448,0.002569671864529394,dp_uniform,7.999921319784397,0.00016098310012838035,0.4552718545554773,0.003318318740920833,5,0.5395335250350834,0.04002847513130376,0.39638281838733985,0.026224133596541528,8.0,81.49967069625855,15.734013927378337
0.5,0.6876017384738862,0.025466634353836323,0.46959634322756727,0.02027314568547397,0.6614680109290798,0.01650860008895214,0.19451346792496257,0.02040468214257126,full_ha_dp,7.9998952742157385,0.00013743833601072053,0.47430838322284946,0.025978575642135338,5,0.5122617724324369,0.03970800554347488,0.44491333835719665,0.04396540661654646,8.0,944.8932035923004,384.4692813003236
0.5,0.6897918278955362,0.013523488797374883,0.4675692686619187,0.010220501741339056,0.6549200130106557,0.0044161196721793925,0.21750733036367298,0.0022585687652165094,scheduler,7.999803086055917,8.597957062132578e-05,0.46347190411467576,0.00617400735677887,5,0.49858767411472243,0.042200356655420844,0.43798040693293144,0.04000861384347455,8.0,955.785435628891,387.1899306713702
